hassaniya,français,categorie,exemple,source
sidi sma3 lakhbar w  chwarni,Sidi heard the news and also consulted me.,phrases_completes,En hassaniya : 'sidi sma3 lakhbar w  chwarni'. En arabe : 'سيدي سمع لخباراو شورني.'.,Hassan-IA/DAH
ma ga6it mchit,I have never gone.,phrases_completes,En hassaniya : 'ma ga6it mchit'. En arabe : 'ما گطيت مشيت.'.,Hassan-IA/DAH
getit guest,I have gone before,phrases_completes,En hassaniya : 'getit guest'. En arabe : 'قطيت گست.'.,Hassan-IA/DAH
Ga6 ja houn,He had once come here.,phrases_completes,En hassaniya : 'Ga6 ja houn'. En arabe : 'گط جا هون.'.,Hassan-IA/DAH
rahi t3awen khouha yeghir rasou amten mnach,"She usually supports her younger brother, who is very stubborn.",phrases_completes,En hassaniya : 'rahi t3awen khouha yeghir rasou amten mnach'. En arabe : 'راهي تعاون خوها يغيير راسو امتن مناش.'.,Hassan-IA/DAH
chahadat zour maybghiha moulana wla 3abdou,It is not good to bear false witness.,phrases_completes,En hassaniya : 'chahadat zour maybghiha moulana wla 3abdou'. En arabe : 'شهادة الزور ما يبقيها لا مولانا لا عبده(و).'.,Hassan-IA/DAH
"oukheth houk wra lhouch ,w lahi yrtherlek citerne l;a","If you go behind that barn, you will see a container of water.",phrases_completes,"En hassaniya : 'oukheth houk wra lhouch ,w lahi yrtherlek citerne l;a'. En arabe : 'اوخظ هوك ورا الحوش ، ولاهي يظهرلك سيترن الماء.'.",Hassan-IA/DAH
lmouj3a khlatni ela ga3ed houn,Sickness has made me stay only around here.,phrases_completes,En hassaniya : 'lmouj3a khlatni ela ga3ed houn'. En arabe : 'الموجعة خلاتني لا گاعد هون.'.,Hassan-IA/DAH
athrak rja3t mn beldak?,Have you returned from where you went?,phrases_completes,En hassaniya : 'athrak rja3t mn beldak?'. En arabe : 'أثرك رجعت من بلدك؟'.,Hassan-IA/DAH
kra3ou waje3tou thak li mkhelih ela ytgleb,He is rolling on the bed like that because he has a painful leg.,phrases_completes,En hassaniya : 'kra3ou waje3tou thak li mkhelih ela ytgleb'. En arabe : 'كراعو واجعتو ذاك لمخليه الا يتگلب.'.,Hassan-IA/DAH
wa3er tehsseb dourat lwetta,It is difficult to count the number of times the wheel of a car is turning.,phrases_completes,En hassaniya : 'wa3er tehsseb dourat lwetta'. En arabe : 'واعر تحسب دورات الوتة.'.,Hassan-IA/DAH
wa3er ,It is difficult.,phrases_completes,En hassaniya : 'wa3er '. En arabe : 'واعر.'.,Hassan-IA/DAH
gleb lbassou,He turned the cloth inside out.,phrases_completes,En hassaniya : 'gleb lbassou'. En arabe : 'گلب لباسو.'.,Hassan-IA/DAH
"ila sawltk, jaweb","If I ask you, you will answer.",phrases_completes,"En hassaniya : 'ila sawltk, jaweb'. En arabe : 'الا سَولتك، جاوب.'.",Hassan-IA/DAH
7rrk lk'rsi lli trehtou,He moved the chair I placed.,phrases_completes,En hassaniya : '7rrk lk'rsi lli trehtou'. En arabe : 'حرّك الكرسي اللي طرحتو.'.,Hassan-IA/DAH
mcha matla thher,He has gone out of sight.,phrases_completes,En hassaniya : 'mcha matla thher'. En arabe : 'مشا ما تلا ظهر.'.,Hassan-IA/DAH
3lah rfedt tfel bthi tari9a,Why did you lift the baby that way?,phrases_completes,En hassaniya : '3lah rfedt tfel bthi tari9a'. En arabe : 'مشا ما تلا ظهر.'.,Hassan-IA/DAH
hed mghedeg tether 3lih,An ill-tempered person doesn't hide anything.,phrases_completes,En hassaniya : 'hed mghedeg tether 3lih'. En arabe : 'حد مغدج ، تظهر عليه.'.,Hassan-IA/DAH
wafat thak tfel tgayam lmaje3,That child's death is very tragic.,phrases_completes,En hassaniya : 'wafat thak tfel tgayam lmaje3'. En arabe : 'وفاة الطفل تگيم المواجع.'.,Hassan-IA/DAH
dak tfel elli   jana gbil yban mahou safi,That child who came here today behaves in a very fishy manner.,phrases_completes,En hassaniya : 'dak tfel elli   jana gbil yban mahou safi'. En arabe : 'ذاك الطفل  الي جانا گبيل يبان ما هو صافي.'.,Hassan-IA/DAH
lawad la3thar ella kathab,A person who makes up excuses is always a liar.,phrases_completes,En hassaniya : 'lawad la3thar ella kathab'. En arabe : 'لواد الأعذار الا كذاب.'.,Hassan-IA/DAH
hed me3kaz y3oud bla fayda,"If you are lazy, you will become useless",phrases_completes,En hassaniya : 'hed me3kaz y3oud bla fayda'. En arabe : 'حد معگاز يعود بلا فايدة.'.,Hassan-IA/DAH
fartato 3adet faracha,A caterpillar has transformed into a butterfly.,phrases_completes,En hassaniya : 'fartato 3adet faracha'. En arabe : 'فرططو عادت فراشة لفراشة.'.,Hassan-IA/DAH
echaghla ma selhetli bia ma nji kel nhar,I lost this job because I was not coming to work every day.,phrases_completes,En hassaniya : 'echaghla ma selhetli bia ma nji kel nhar'. En arabe : 'الشغلة ما صلحتلي بيا ما نجي كل نهار.'.,Hassan-IA/DAH
3tni gchira men lkhbez jani noukel,Give me a piece of bread so that I can eat.,phrases_completes,En hassaniya : '3tni gchira men lkhbez jani noukel'. En arabe : 'عطيني گشيرة من الخبز كاني نوكل.'.,Hassan-IA/DAH
bia l3ejla sma3t ela chi mn thak li gal,I rushed and just got a fraction of what he said.,phrases_completes,En hassaniya : 'bia l3ejla sma3t ela chi mn thak li gal'. En arabe : 'بيا العجلة سمعت ال شي من ذاك الي گال.'.,Hassan-IA/DAH
ndourou nehkmou 5 telephonat,We plan to get five phones.,phrases_completes,En hassaniya : 'ndourou nehkmou 5 telephonat'. En arabe : 'ندورو نحكمو 5 تلفونات.'.,Hassan-IA/DAH
lahi y3edel hachiat trig blbala,He will level the sides of the road with a shovel.,phrases_completes,En hassaniya : 'lahi y3edel hachiat trig blbala'. En arabe : 'لاهي يعدل حاشيات الطريق بالبالة.'.,Hassan-IA/DAH
rani berritek matlit t3edel chi khasser,I am warning you that you should not do evil anymore.,phrases_completes,En hassaniya : 'rani berritek matlit t3edel chi khasser'. En arabe : 'راني بريتك ما تيت تعدل شي خاسر.'.,Hassan-IA/DAH
g3edna nkhersou fl9erd bih thak men lkibar,We were astonished by that monkey because it is very big.,phrases_completes,En hassaniya : 'g3edna nkhersou fl9erd bih thak men lkibar'. En arabe : 'گعدنا نخرسو فالقرد بيه ذاك من الكبر.'.,Hassan-IA/DAH
ezyant 3ndou dar eli f Aghnewdertt,He was impressed by the houses he saw at Aghnewdertt.,phrases_completes,En hassaniya : 'ezyant 3ndou dar eli f Aghnewdertt'. En arabe : 'ازيانت اعندو الدار الي ف أغندرت.'.,Hassan-IA/DAH
mezalt mat3ajeb bthak elli gal,I am still surprised by what he said.,phrases_completes,En hassaniya : 'mezalt mat3ajeb bthak elli gal'. En arabe : 'مازلت متعجب بذاك لي گال.'.,Hassan-IA/DAH
baya t3asseb bia nssi lktab,My father got angry because I forgot my book.,phrases_completes,En hassaniya : 'baya t3asseb bia nssi lktab'. En arabe : 'بايا    تعصب بيا نسيت  الكتاب.'.,Hassan-IA/DAH
lostath kan ydour ykhbetni yeghir hrebt 3nou bl3ajla,The teacher wanted to beat me and I ran quickly.,phrases_completes,En hassaniya : 'lostath kan ydour ykhbetni yeghir hrebt 3nou bl3ajla'. En arabe : 'الأستاذ كان يدور يخبطني يغير هربت عنو بلعجلة.'.,Hassan-IA/DAH
ela 3toni m3ak atay yames kani nechrbou,Give me the remaining tea from yesterday so that I can drink.,phrases_completes,En hassaniya : 'ela 3toni m3ak atay yames kani nechrbou'. En arabe : 'لا اعطني معاك أتاي يامس كاني نشربو.'.,Hassan-IA/DAH
Tfel khela chi mn lehssa kan ychrbou dehmis,The child has kept some soup so that he can eat it in the afternoon.,phrases_completes,En hassaniya : 'Tfel khela chi mn lehssa kan ychrbou dehmis'. En arabe : 'الطفل خلا شي من الحسا كان يشربو الدحميس.'.,Hassan-IA/DAH
ewa rana nrawk inchaalah,See you again.,phrases_completes,En hassaniya : 'ewa rana nrawk inchaalah'. En arabe : 'اوا رانا نروك ان شاء الله.'.,Hassan-IA/DAH
jbit mn 3winat lbab ou thher li,I peeked through the keyhole and saw him.,phrases_completes,En hassaniya : 'jbit mn 3winat lbab ou thher li'. En arabe : 'جبيت من عوينة الباب او ظهر لي.'.,Hassan-IA/DAH
kharrest trig o mathher lek?,Have you looked along the road and still not seen him?,phrases_completes,En hassaniya : 'kharrest trig o mathher lek?'. En arabe : 'خرست الطريق او ما ظهرلك؟'.,Hassan-IA/DAH
wasa3na trig kan lwettat tjber mnin tetkhata,We have widened the road so that vehicles can drive on freely.,phrases_completes,En hassaniya : 'wasa3na trig kan lwettat tjber mnin tetkhata'. En arabe : 'وسّعنا الطريگ كان الوتات تجبر منين تتخطى.'.,Hassan-IA/DAH
Tfil yban 3a9el,This child is very wise.,phrases_completes,En hassaniya : 'Tfil yban 3a9el'. En arabe : 'الطفيل يبان عاقل.'.,Hassan-IA/DAH
mcha yegbeth fedtou o thak gayem dayga,"He went to get his money, but it started a fight.",phrases_completes,En hassaniya : 'mcha yegbeth fedtou o thak gayem dayga'. En arabe : 'مشا يگبظ فضتو         او داك  گيم دايكة'.,Hassan-IA/DAH
fatimetu t3erset mo7ammad salim f Atar,Fatimetou got married to Mohamed Salem in Atar.,phrases_completes,En hassaniya : 'fatimetu t3erset mo7ammad salim f Atar'. En arabe : 'فاتمتّو تعرست بمحمّد سالم ف أطار.'.,Hassan-IA/DAH
g3ed shi mn les pattes?,Is there any leftover pasta?,phrases_completes,En hassaniya : 'g3ed shi mn les pattes?'. En arabe : 'گعد شي من لي باط؟'.,Hassan-IA/DAH
"mazal ma rinah, thak ma3nah mzal ma ja","We haven't seen him yet, so he hasn’t come.",phrases_completes,"En hassaniya : 'mazal ma rinah, thak ma3nah mzal ma ja'. En arabe : 'ما زال ما ريناه، ذاك معناه مززال ما  جا.'.",Hassan-IA/DAH
mazal ykhdm f Tidjikja?,Is he still working at Tidjikja?,phrases_completes,En hassaniya : 'mazal ykhdm f Tidjikja?'. En arabe : 'مازال يخدم ف تجكجه؟'.,Hassan-IA/DAH
yasser matlaw yetb3o ta9alid,Not everyone still follows the old traditions.,phrases_completes,En hassaniya : 'yasser matlaw yetb3o ta9alid'. En arabe : 'ياسر ما تلاو يتبعو التقاليد.'.,Hassan-IA/DAH
babu mazal mgfoul ,His door is still closed.,phrases_completes,En hassaniya : 'babu mazal mgfoul '. En arabe : 'بابو مازال مگفول.'.,Hassan-IA/DAH
"kh'tbt dhik tegla, wbghat","I proposed to that girl, and she accepted.",phrases_completes,"En hassaniya : 'kh'tbt dhik tegla, wbghat'. En arabe : 'خطبت ذيك الطفلة، و بعات.'.",Hassan-IA/DAH
"sidaty w mkhtar daygou , 3ad lmkhtar ywehel sidaty flghays","Sidaty and Moukhtar fought, and Moukhtar rubbed Sidaty thoroughly in the mud.",phrases_completes,"En hassaniya : 'sidaty w mkhtar daygou , 3ad lmkhtar ywehel sidaty flghays'. En arabe : 'سيداتّي و مختار دايگو ،عاد المختار يوحل سيداتي فالغيس.'.",Hassan-IA/DAH
guelt 3eni lahi njber chi nchrbou ou noiklou,I went expecting drinks or food.,phrases_completes,En hassaniya : 'guelt 3eni lahi njber chi nchrbou ou noiklou'. En arabe : 'گلت عني لاهي نجبر شي نشربو او نوكلو .'.,Hassan-IA/DAH
"mntha moujo3a, w gasset lkifa",Her daughter was ill so she went to Kiffa.,phrases_completes,"En hassaniya : 'mntha moujo3a, w gasset lkifa'. En arabe : 'منتها موجوعة، او گاست لكيفة.'.",Hassan-IA/DAH
knt n7anik kana nmchou mtafgin,I was waiting for you so that we could go together.,phrases_completes,En hassaniya : 'knt n7anik kana nmchou mtafgin'. En arabe : 'كنت نحانيك كانا نمشيو متافگين.'.,Hassan-IA/DAH
lbanan tab hetta 3ad layen,This banana is too ripe and has become soft.,phrases_completes,En hassaniya : 'lbanan tab hetta 3ad layen'. En arabe : 'البنان طايب حتا عاد لين.'.,Hassan-IA/DAH
had l'imti7an sahl ,This test is very easy.,phrases_completes,En hassaniya : 'had l'imti7an sahl '. En arabe : 'هاد لامتحان  ساهل'.,Hassan-IA/DAH
"zahra moujou3a, yimkn lahi ygbtha ras",Zahra is feeling sick; maybe she will have a headache.,phrases_completes,"En hassaniya : 'zahra moujou3a, yimkn lahi ygbtha ras'. En arabe : 'الزهرة موجوعة ؛يمكن لاهي يگبظها الراس.'.",Hassan-IA/DAH
"khlani emmi deddi, lahi nlawed 3la chi nouklou",I’m really hungry; I’ll go get something to eat.,phrases_completes,"En hassaniya : 'khlani emmi deddi, lahi nlawed 3la chi nouklou'. En arabe : 'خلاني امي ددي، لاهي نلود على شي نوكلو.'.",Hassan-IA/DAH
jbit 3la chi mn rejli o 3tawni chimn thoub,I visited someone and they gave me a piece of fabric.,phrases_completes,En hassaniya : 'jbit 3la chi mn rejli o 3tawni chimn thoub'. En arabe : 'جبيت على شي من الرجلي او عطاوني شي من الثوب.'.,Hassan-IA/DAH
lemma rahi zeyna,It’s good to be united.,phrases_completes,En hassaniya : 'lemma rahi zeyna'. En arabe : 'اللمة راهي زينة.'.,Hassan-IA/DAH
"knt mani sayeb , yehir mnin lheg 3lia , jberni","I was busy, but when he needed me, I helped him.",phrases_completes,"En hassaniya : 'knt mani sayeb , yehir mnin lheg 3lia , jberni'. En arabe : 'كنت ماني صايب، يغير منين  لحك عليا ،جبرني.'.",Hassan-IA/DAH
"kent mani 3la berji , yeghir mnin tkelmet m3aya tsanatlha","I was angry, but when she spoke to me, I listened.",phrases_completes,"En hassaniya : 'kent mani 3la berji , yeghir mnin tkelmet m3aya tsanatlha'. En arabe : 'كنت ماني على برجي، يغير منين تكلمت معايا اتصنتلها.'.",Hassan-IA/DAH
khattk ezyan 3ndi,I like your handwriting very much.,phrases_completes,En hassaniya : 'khattk ezyan 3ndi'. En arabe : 'خطّك   ازيان عندي.'.,Hassan-IA/DAH
ahmed ma sga lma lahi ytmechkel fdehmis,"Ahmed did not fetch water, so it will cause him trouble in the evening.",phrases_completes,En hassaniya : 'ahmed ma sga lma lahi ytmechkel fdehmis'. En arabe : 'احمد  ما سگا الماء لاهي يتمشكل فالدحميس.'.,Hassan-IA/DAH
dar 3la rasu chi ,He has wrapped his head with a cloth.,phrases_completes,En hassaniya : 'dar 3la rasu chi '. En arabe : 'دار على راسو شي.'.,Hassan-IA/DAH
esshab gabthat 3ichettou o raghnetha kamelha,The rain has caught Aichatou and has soaked her so much.,phrases_completes,En hassaniya : 'esshab gabthat 3ichettou o raghnetha kamelha'. En arabe : 'السحاب گبظت عيشتو او  رغنتها كاملها.'.,Hassan-IA/DAH
"la gebthouk lbulis, ella treh7 balek o tragfeg m3ahum","If policemen arrest you, calm down and let them take you where they want to.",phrases_completes,"En hassaniya : 'la gebthouk lbulis, ella treh7 balek o tragfeg m3ahum'. En arabe : 'الا  گبظوك البوليس،  الا اطر ح بالك  او ترافگ معاهم.'.",Hassan-IA/DAH
"mn youm a7maddo s'bni, matlit nsllm 3lih","Since the day Ahmedou insulted me, I have always been reluctant to greet him.",phrases_completes,"En hassaniya : 'mn youm a7maddo s'bni, matlit nsllm 3lih'. En arabe : 'من يوم احمدّو سبّني، ما تليت نسلم عليه.'.",Hassan-IA/DAH
gbed werth bouh ba3d wafatou,He received the inheritance after his father died.,phrases_completes,En hassaniya : 'gbed werth bouh ba3d wafatou'. En arabe : 'گبط ورث بوه بعد وفاتو.'.,Hassan-IA/DAH
a7mad hreg idou o tnef5et 3lih,Ahmed burned his hand and it swelled immediately.,phrases_completes,En hassaniya : 'a7mad hreg idou o tnef5et 3lih'. En arabe : 'احمد حرك ايدو او تنفخت عليه'.,Hassan-IA/DAH
"la 3ad hed 7d f ljma3a cheghlou zeyn , rais lahi y3tih manssib","If someone behaves well in the group, the leader will give him a position.",phrases_completes,"En hassaniya : 'la 3ad hed 7d f ljma3a cheghlou zeyn , rais lahi y3tih manssib'. En arabe : 'لا عد فالجماعة شغلو زين، الرئيس لاهي يعطيه منصب.'.",Hassan-IA/DAH
zgat elin thak yeghir ma jaw yelhgouha elin 3tabha rajel,"She cried out, but before help arrived, the man had already injured her. (",phrases_completes,En hassaniya : 'zgat elin thak yeghir ma jaw yelhgouha elin 3tabha rajel'. En arabe : 'زگات إلين ذاك ،ما جاو يلحگوها إلين عطبها الراجل'.,Hassan-IA/DAH
yasser mn lhacharat merget tha l3am,Many insects have hatched this year.,phrases_completes,En hassaniya : 'yasser mn lhacharat merget tha l3am'. En arabe : 'ياسر من الحشرات مرگت ذا العام.'.,Hassan-IA/DAH
lkethab ila fat elin ynkbeth lahi tem nas thherk fih elin yhchem,"If a liar is caught, people will mock him until he feels ashamed.",phrases_completes,En hassaniya : 'lkethab ila fat elin ynkbeth lahi tem nas thherk fih elin yhchem'. En arabe : 'الكذاب منين ينكبض الناس لاهي تم تضحك فيه الين يحشم'.,Hassan-IA/DAH
mahou ay hed ysselem 3la lostath blyed,Not everyone can greet the teacher by shaking hands.,phrases_completes,En hassaniya : 'mahou ay hed ysselem 3la lostath blyed'. En arabe : 'ما هو أي حد يسلم على الأستاذ باليد.'.,Hassan-IA/DAH
"la 3ad maybghini hette ,makan lahi y3tini fethtou",He loves me very much otherwise he wouldn't have given me his money.,phrases_completes,"En hassaniya : 'la 3ad maybghini hette ,makan lahi y3tini fethtou'. En arabe : 'لا عاد ما يبغيني حتا ، ما كان لاهي يعطيني فضتو.'.",Hassan-IA/DAH
cha gamet tejri flber,The goat has run into the field.,phrases_completes,En hassaniya : 'cha gamet tejri flber'. En arabe : 'الشا گامت تجري فالبر.'.,Hassan-IA/DAH
fte7 lktab o khelah mchaya3 fshab,He has opened the book and left it in the rain.,phrases_completes,En hassaniya : 'fte7 lktab o khelah mchaya3 fshab'. En arabe : 'فتح الكتاب او خلاه مشيع فالسحاب'.,Hassan-IA/DAH
"klam geltoulou kamel,lehgou larwagij",He has disclosed the discussion I had with him to other people.,phrases_completes,"En hassaniya : 'klam geltoulou kamel,lehgou larwagij'. En arabe : 'كلام گلتولو كامل ،لحگو لارواگيج.'.",Hassan-IA/DAH
lladawat mnin hia?,Where are the tools?,phrases_completes,En hassaniya : 'lladawat mnin hia?'. En arabe : 'الأدوات منن هيا ؟'.,Hassan-IA/DAH
"chrina lktoub , o hia waghdet ktabha",We bought books and she lost hers.,phrases_completes,"En hassaniya : 'chrina lktoub , o hia waghdet ktabha'. En arabe : 'شرينا الكتب، وهي وغدت كتابها.'.",Hassan-IA/DAH
mnin treht ktoubek?,Where have you kept his books?,phrases_completes,En hassaniya : 'mnin treht ktoubek?'. En arabe : 'منين طرحت كتوبك؟'.,Hassan-IA/DAH
hathou n3ayel mohamed,These are Mohamed Salem's shoes.,phrases_completes,En hassaniya : 'hathou n3ayel mohamed'. En arabe : 'هذو نعايل محمد سالم.'.,Hassan-IA/DAH
eheh,Oui,expressions_quotidiennes,On dit 'eheh' en hassaniya. En arabe : اهيه,mendeley/projectHA
assalamu alaykum,Bonjour / Paix sur vous,expressions_quotidiennes,On dit 'assalamu alaykum' en hassaniya. En arabe : السلام عليكم ورحمة الله وبركاته,mendeley/projectHA
zeyn,Bien,expressions_quotidiennes,On dit 'zeyn' en hassaniya. En arabe : زين,mendeley/projectHA
kalima,Un mot,expressions_quotidiennes,On dit 'kalima' en hassaniya. En arabe : كلمة,mendeley/projectHA
megel 7tiramak,Tu n'es pas respectueux,expressions_quotidiennes,On dit 'megel 7tiramak' en hassaniya. En arabe : مكل احترامك,mendeley/projectHA
I5ti6av lhatv yngalou seri9at lhatef,Le vol du téléphone,expressions_quotidiennes,On dit 'I5ti6av lhatv yngalou seri9at lhatef' en hassaniya. En arabe : ختطاف الهاتف كول سرقة الهاتف,mendeley/projectHA
mer5akoum 4e mn telefun ga6 sragne,"C'est honteux, regardez combien de téléphones ont été volés",expressions_quotidiennes,On dit 'mer5akoum 4e mn telefun ga6 sragne' en hassaniya. En arabe : مرخاكم ذمن تلفون گط أصرگن,mendeley/projectHA
tged ba3d mateshfarha mashAllah,Ça pourrait lui coûter cher mashAllah,expressions_quotidiennes,On dit 'tged ba3d mateshfarha mashAllah' en hassaniya. En arabe : تگدْ بعد ماتشفرْها ماشاء الله,mendeley/projectHA
le4ine kano wra i5ti6av lhatef,Les gens responsables du vol du téléphone,expressions_quotidiennes,On dit 'le4ine kano wra i5ti6av lhatef' en hassaniya. En arabe : الذين كانوا وراء اختطاف الهاتف,mendeley/projectHA
4ak shevnah,On l'a vu / remarqué,expressions_quotidiennes,On dit '4ak shevnah' en hassaniya. En arabe : ذاك شفناه,mendeley/projectHA
souwar 5assa huwe shi mahu mounassib,Des photos privées c'est pas approprié,expressions_quotidiennes,On dit 'souwar 5assa huwe shi mahu mounassib' en hassaniya. En arabe : صور خاصة هو شي ماهو مناسب,mendeley/projectHA
4e throu muhim,C'est pas si important,expressions_quotidiennes,On dit '4e throu muhim' en hassaniya. En arabe : ذ أثر مهم,mendeley/projectHA
Garmi ba3d venane kbire,Garmi est une grande chanteuse,expressions_quotidiennes,On dit 'Garmi ba3d venane kbire' en hassaniya. En arabe : كرمى بعد ذى فنانة اكبيرة,mendeley/projectHA
hhhh na3oudhou billah,C'est ridicule,expressions_quotidiennes,On dit 'hhhh na3oudhou billah' en hassaniya. En arabe : هههه نعوذ بالله,mendeley/projectHA
Allah yar7am lwaldeyn,Que Dieu préserve les parents,expressions_quotidiennes,On dit 'Allah yar7am lwaldeyn' en hassaniya. En arabe : لله يرحم الوالدين,mendeley/projectHA
y3avine w y3avik,Que Dieu nous guérisse et te guérisse,expressions_quotidiennes,On dit 'y3avine w y3avik' en hassaniya. En arabe : ايعافينا و ايعافيك,mendeley/projectHA
mafhemt shy,Je n'ai rien compris,expressions_quotidiennes,On dit 'mafhemt shy' en hassaniya. En arabe : مافهمت شي,mendeley/projectHA
sh7alak,Comment vas-tu ?,expressions_quotidiennes,On dit 'sh7alak' en hassaniya. En arabe : اشحالك,mendeley/projectHA
sh7alak lyoum,Comment vas-tu aujourd'hui ?,expressions_quotidiennes,On dit 'sh7alak lyoum' en hassaniya. En arabe : اشحالك اليوم,mendeley/projectHA
4e mahu 3endi,Je n'ai pas ça,expressions_quotidiennes,On dit '4e mahu 3endi' en hassaniya. En arabe : ذ ماه عندي,mendeley/projectHA
antum mneyn ?,Vous êtes où ?,expressions_quotidiennes,On dit 'antum mneyn ?' en hassaniya. En arabe : انتوم منين ؟,mendeley/projectHA
la tensani,Ne m'oublie pas,expressions_quotidiennes,On dit 'la tensani' en hassaniya. En arabe : لا تنساني,mendeley/projectHA
Allah ynezel fik lbarke,Que Dieu fasse descendre sur toi la bénédiction,expressions_quotidiennes,On dit 'Allah ynezel fik lbarke' en hassaniya. En arabe : الله ينزل فيك البركة,mendeley/projectHA
3alash jiyt ?,Pourquoi es-tu venu ?,expressions_quotidiennes,On dit '3alash jiyt ?' en hassaniya. En arabe : علاش جيت؟,mendeley/projectHA
ha4e huwe 4ahirli,C'est ce qui me semble,expressions_quotidiennes,On dit 'ha4e huwe 4ahirli' en hassaniya. En arabe : هذا هو الظاهرلي,mendeley/projectHA
ma 3endi yaser mn lwa9t,Je n'ai pas beaucoup de temps,expressions_quotidiennes,On dit 'ma 3endi yaser mn lwa9t' en hassaniya. En arabe : ما عندي ياسر من الوقت,mendeley/projectHA
ha4e mahu s7i7,Ce n'est pas correct,expressions_quotidiennes,On dit 'ha4e mahu s7i7' en hassaniya. En arabe : ذا ماه صحيح,mendeley/projectHA
yak l fehmt ?,Tu as bien compris ?,expressions_quotidiennes,On dit 'yak l fehmt ?' en hassaniya. En arabe : ياك ل فهمت؟,mendeley/projectHA
ma fehmt shy,Je n'ai rien compris,expressions_quotidiennes,On dit 'ma fehmt shy' en hassaniya. En arabe : ما فهمت شي,mendeley/projectHA
Allah yser,Que Dieu facilite,expressions_quotidiennes,On dit 'Allah yser' en hassaniya. En arabe : الله يسهل,mendeley/projectHA
ma3andi lva8a,Je n'ai pas assez d'argent,expressions_quotidiennes,On dit 'ma3andi lva8a' en hassaniya. En arabe : ما عندي الفظة,mendeley/projectHA
Allah y3atik l3aviya,Que Dieu te donne la santé,expressions_quotidiennes,On dit 'Allah y3atik l3aviya' en hassaniya. En arabe : الله يعطيك العافية,mendeley/projectHA
la tkadebni,Ne me mens pas,expressions_quotidiennes,On dit 'la tkadebni' en hassaniya. En arabe : لا تكدبني,mendeley/projectHA
ha4e mahu 3ajebni,Ça ne m'a pas plu,expressions_quotidiennes,On dit 'ha4e mahu 3ajebni' en hassaniya. En arabe : هذا ماه عجبني,mendeley/projectHA
4ak nb9i n3arvou,C'est ça qu'on aime savoir,expressions_quotidiennes,On dit '4ak nb9i n3arvou' en hassaniya. En arabe : ذاك نبقي نعرفوه,mendeley/projectHA
ma kount m3akoum,Je n'étais pas avec vous,expressions_quotidiennes,On dit 'ma kount m3akoum' en hassaniya. En arabe : ما كنت معاكم,mendeley/projectHA
4er 3endak lkhbar ?,Tu as des nouvelles ?,expressions_quotidiennes,On dit '4er 3endak lkhbar ?' en hassaniya. En arabe : اظر عندك لخبار؟,mendeley/projectHA
ha4e muhim hatte,C'est vraiment important,expressions_quotidiennes,On dit 'ha4e muhim hatte' en hassaniya. En arabe : ذا مهم حت,mendeley/projectHA
la t5al3ni,Ne m'effraie pas,expressions_quotidiennes,On dit 'la t5al3ni' en hassaniya. En arabe : لا تخلعني,mendeley/projectHA
lyaser ma shevtak,Ça fait longtemps que je ne t'ai pas vu,expressions_quotidiennes,On dit 'lyaser ma shevtak' en hassaniya. En arabe : لياسر ما شفتك,mendeley/projectHA
ha4e ma ynfa3,Ça ne sert à rien,expressions_quotidiennes,On dit 'ha4e ma ynfa3' en hassaniya. En arabe : ذا ما ينفع,mendeley/projectHA
ha4e wa3er hatte,C'est vraiment difficile,expressions_quotidiennes,On dit 'ha4e wa3er hatte' en hassaniya. En arabe : ذاك واعر حت,mendeley/projectHA
ha4e mahu radhini,Ça ne me satisfait pas,expressions_quotidiennes,On dit 'ha4e mahu radhini' en hassaniya. En arabe : ذا ماه راضيني,mendeley/projectHA
